nn1,nn2,nn3,nn4,nn5,np1,np2,np3,np4,np5,ne1,ne2,ne3,ne4,ne5,p1,p2,p3,p4,p5,gno1,gno2,gno3,gno4,gno5,ar1,ar2,ar3,ar4,ar5,en1,en2,en3,en4,en5,ie1,ie2,ie3,ie4,ie5,d1,d2,d3,d4,d5,mp1,mp2,mp3,mp4,mp5,bp1,bp2,bp3,bp4,bp5,numiso1,numiso2,numiso3,numiso4,numiso5,shell1,shell2,shell3,shell4,shell5,spheat1,spheat2,spheat3,spheat4,spheat5,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,label
106,110,6,0,0,72,74,6,1,1,72,74,6,1,1,6,6,2,1,1,4,6,14,1,1,2.2,2,0.91,0.79,0.79,1.3,2.36,2.55,2.2,2.2,6.8251,7.864,11.2603,13.5984,13.5984,13.3,19.3,2.27,0.0000899,0.0000899,2500.15,3680.15,3948.15,14.175,14.175,4876,5828,4300,20.28,20.28,17,22,7,3,3,6,6,2,1,1,0.144,0.132,0.709,14.304,14.304,2703.04,1190.96,1190.96,5.36,22.96,0.393016,0.185536,8.029618466,62.26940243,2950085.416,6192805.088,59.84,5.36,46.92010864,0
106,110,6,8,45,72,74,6,8,35,72,74,6,8,35,6,6,2,2,4,4,6,14,16,17,2.2,2,0.91,0.65,1.1,1.3,2.36,2.55,3.44,2.96,6.8251,7.864,11.2603,13.6181,11.8138,13.3,19.3,2.27,0.00143,3.12,2500.15,3680.15,3948.15,50.5,266.05,4876,5828,4300,90.2,332,17,22,7,8,19,6,6,2,2,4,0.144,0.132,0.709,0.918,0.474,2067.2,876,876,3.2,28.64,0.377736,0.510976,6.445952442,55.11951027,2727174.064,5751158.15,36.24,3.2,0.09564304,0
106,110,6,8,18,72,74,6,8,17,72,74,6,8,17,6,6,2,2,3,4,6,14,16,17,2.2,2,0.91,0.65,0.97,1.3,2.36,2.55,3.44,3.16,6.8251,7.864,11.2603,13.6181,12.9676,13.3,19.3,2.27,0.00143,0.00321,2500.15,3680.15,3948.15,50.5,172.31,4876,5828,4300,90.2,239.11,17,22,7,8,11,6,6,2,2,3,0.144,0.132,0.709,0.918,0.479,2291.84,956.64,956.64,3.36,28.64,0.394584,0.552416,7.368558614,62.25696186,2796933.347,5854838.104,32.4,3.36,0.09564424,0
106,110,6,8,10,72,74,6,8,9,72,74,6,8,9,6,6,2,2,2,4,6,14,16,17,2.2,2,0.91,0.65,0.57,1.3,2.36,2.55,3.44,3.98,6.8251,7.864,11.2603,13.6181,17.4228,13.3,19.3,2.27,0.00143,0.0017,2500.15,3680.15,3948.15,50.5,53.63,4876,5828,4300,90.2,85.03,17,22,7,8,6,6,6,2,2,2,0.144,0.132,0.709,0.918,0.824,2403.2,1025.76,1025.76,3.84,28.64,0.480344,0.856144,14.92931815,62.26117315,2889286.041,6032904.292,40.4,3.84,0.11504704,0
106,110,6,8,0,72,74,6,8,1,72,74,6,8,1,6,6,2,2,1,4,6,14,16,1,2.2,2,0.91,0.65,0.79,1.3,2.36,2.55,3.44,2.2,6.8251,7.864,11.2603,13.6181,13.5984,13.3,19.3,2.27,0.00143,0.0000899,2500.15,3680.15,3948.15,50.5,14.175,4876,5828,4300,90.2,20.28,17,22,7,8,3,6,6,2,2,1,0.144,0.132,0.709,0.918,14.304,2571.2,1115.36,1115.36,4.64,33.76,0.42684,0.47024,8.053077542,62.26566441,2920986.839,6110001.237,49.04,4.64,30.69092224,0
106,110,6,8,8,72,74,6,8,8,72,74,6,8,8,6,6,2,2,2,4,6,14,16,16,2.2,2,0.91,0.65,0.65,1.3,2.36,2.55,3.44,3.44,6.8251,7.864,11.2603,13.6181,13.6181,13.3,19.3,2.27,0.00143,0.00143,2500.15,3680.15,3948.15,50.5,50.5,4876,5828,4300,90.2,90.2,17,22,7,8,8,6,6,2,2,2,0.144,0.132,0.709,0.918,0.918,2434.24,1035.84,1035.84,3.84,26.56,0.459096,0.631936,8.07650557,62.26192623,2891782.701,6026806.282,36.24,3.84,0.12693616,0
106,110,7,45,45,72,74,7,35,35,72,74,7,35,35,6,6,2,4,4,4,6,15,17,17,2.2,2,0.75,1.1,1.1,1.3,2.36,3.04,2.96,2.96,6.8251,7.864,14.5341,11.8138,11.8138,13.3,19.3,0.00125,3.12,3.12,2500.15,3680.15,63.29,266.05,266.05,4876,5828,77.36,332,332,17,22,8,19,19,6,6,2,4,4,0.144,0.132,1.04,0.474,0.474,1568.24,642.64,642.64,2.24,31.76,0.3196,0.434304,8.030975514,53.42405225,2151565.976,6353627.893,22.8,2.24,0.10879456,0
106,110,7,45,0,72,74,7,35,1,72,74,7,35,1,6,6,2,4,1,4,6,15,17,1,2.2,2,0.75,1.1,0.79,1.3,2.36,3.04,2.96,2.2,6.8251,7.864,14.5341,11.8138,13.5984,13.3,19.3,0.00125,3.12,0.0000899,2500.15,3680.15,63.29,266.05,14.175,4876,5828,77.36,332,20.28,17,22,8,19,3,6,6,2,4,1,0.144,0.132,1.04,0.474,14.304,2209.04,958.16,958.16,4.16,39.44,0.375896,0.394176,9.428303038,60.78231534,2271442.154,6613198.384,50.96,4.16,30.82909696,0
106,110,7,18,45,72,74,7,17,35,72,74,7,17,35,6,6,2,3,4,4,6,15,17,17,2.2,2,0.75,0.97,1.1,1.3,2.36,3.04,3.16,2.96,6.8251,7.864,14.5341,12.9676,11.8138,13.3,19.3,0.00125,0.00321,3.12,2500.15,3680.15,63.29,172.31,266.05,4876,5828,77.36,239.11,332,17,22,8,11,19,6,6,2,3,4,0.144,0.132,1.04,0.479,0.474,1874.96,763.6,763.6,2.56,31.76,0.339464,0.475584,8.817940958,60.77340068,2193808.369,6427725.428,26.64,2.56,0.10884096,0
106,110,7,18,18,72,74,7,17,17,72,74,7,17,17,6,6,2,3,3,4,6,15,17,17,2.2,2,0.75,0.97,0.97,1.3,2.36,3.04,3.16,3.16,6.8251,7.864,14.5341,12.9676,12.9676,13.3,19.3,0.00125,0.00321,0.00321,2500.15,3680.15,63.29,172.31,172.31,4876,5828,77.36,239.11,239.11,17,22,8,11,11,6,6,2,3,3,0.144,0.132,1.04,0.479,0.479,2123.36,858.64,858.64,2.8,31.76,0.357976,0.513664,9.498406046,67.34559872,2235347.788,6501132.68,25.36,2.8,0.10888536,0
